,weekday,hour,day,lang,reach,retweetcount,likes,klout,sentiment,locationid,isreshare
396,Friday,17,1,en,169,0,0,22,0.0,3800,0
397,Friday,17,1,en,3056,0,0,34,0.0,3801,0
398,Friday,17,1,en,67,0,0,28,0.0,3751,0
399,Friday,17,1,en,144,0,0,30,0.0,3776,0
400,Friday,17,1,en,2104,0,0,59,0.0,3786,0
401,Friday,17,1,en,238,2,0,37,0.0,2537,1
402,Friday,17,1,en,1297,0,0,49,0.0,80,0
403,Friday,17,1,en,125,1,0,28,0.0,3753,0
404,Friday,17,1,en,512,1,0,40,0.0,3802,0
405,Friday,18,1,en,793,0,0,47,0.0,1602,0
406,Friday,18,1,en,487,0,0,45,3.0,3019,0
407,Friday,18,1,en,224,0,0,40,2.0,464,0
408,Friday,18,1,en,439,0,0,37,0.0,1336,0
409,Friday,18,1,en,497,0,0,43,0.0,3757,0
410,Friday,18,1,en,497,0,0,43,0.0,3757,0
411,Friday,18,1,en,2494,0,0,51,0.0,3019,0
412,Friday,18,1,en,2383,0,0,41,0.0,3019,0
413,Friday,18,1,en,6041,0,0,43,0.0,3019,0
414,Friday,19,1,en,7,0,0,25,0.0,287,0
415,Friday,19,1,en,690,0,0,33,-3.0,3803,0
416,Friday,19,1,en,156,0,0,46,1.0,1333,0
417,Friday,19,1,en,44,0,0,35,0.0,3751,0
418,Friday,19,1,en,489,0,0,46,3.0,80,0
419,Friday,19,1,en,360,4,0,27,0.0,3751,1
420,Friday,19,1,en,250,2,0,33,0.0,3752,0
421,Friday,19,1,en,179,1,0,40,2.0,3804,0
422,Friday,19,1,en,815,2,0,42,0.0,3805,1
423,Friday,19,1,en,263,0,0,44,0.0,2597,0
424,Friday,19,1,en,271,0,0,48,0.0,3806,0
425,Friday,19,1,en,431,0,0,44,1.0,3807,0
426,Friday,19,1,en,350,0,0,35,0.0,3808,0
427,Friday,19,1,en,1341,0,0,63,0.0,3753,0
428,Friday,20,1,en,2382,0,0,53,0.0,3766,0
429,Friday,20,1,en,902,0,0,61,0.0,3031,0
430,Friday,20,1,en,2941,2,0,54,0.0,3017,0
431,Friday,20,1,en,751,0,0,61,0.0,3776,0
432,Friday,20,1,en,10,0,0,19,0.0,3766,0
433,Friday,20,1,en,1340,0,0,63,0.0,3753,0
434,Friday,20,1,en,1340,0,0,63,0.0,3753,0
435,Friday,20,1,en,159,3,0,41,0.0,3809,1
436,Friday,20,1,en,443,0,0,45,0.0,3746,0
437,Friday,20,1,en,6330,0,0,61,0.0,3810,0
438,Friday,20,1,en,1239,0,0,49,2.0,3786,0
439,Friday,20,1,en,1339,0,0,63,0.0,3753,0
440,Friday,20,1,en,7,0,0,25,0.0,287,0
441,Friday,20,1,en,306,1,0,44,2.5,3811,1
442,Friday,20,1,en,443,0,0,45,0.0,3746,0
443,Friday,20,1,en,111,9,0,32,0.0,749,1
444,Friday,21,1,en,108,0,0,45,-0.5,3806,0
445,Friday,21,1,en,21,1,0,22,0.0,3812,1
446,Friday,21,1,en,50,0,0,26,0.0,3737,0
447,Friday,21,1,en,344,0,0,55,0.0,83,0
448,Friday,21,1,en,447,2,0,36,2.0,3813,1
449,Friday,21,1,en,3974,0,0,49,0.0,3739,0
450,Friday,21,1,en,165,0,0,37,0.0,1338,0
451,Friday,21,1,en,1491,0,0,60,0.0,3023,0
452,Friday,21,1,en,582,14,0,40,0.0,3814,1
453,Friday,21,1,en,101,2,0,41,0.0,1329,1
454,Friday,21,1,en,764,0,0,47,1.0,1788,0
455,Friday,22,1,en,1457,1,0,49,0.0,1654,1
456,Friday,22,1,en,230,0,0,41,3.0,1338,0
457,Friday,22,1,en,44,0,0,35,0.0,3751,0
458,Friday,22,1,en,73,0,0,21,0.0,81,0
459,Friday,23,1,en,327,0,0,46,2.5,3815,0
460,Friday,23,1,en,224,0,0,47,0.0,3744,0
461,Friday,23,1,en,1085,0,0,48,0.0,3816,0
462,Friday,23,1,en,130,409,0,33,2.0,3817,1
463,Friday,23,1,en,46,0,0,40,0.0,3751,0
464,Friday,23,1,en,466,1,0,44,2.0,1066,1
465,Friday,23,1,en,385,0,0,46,0.0,3758,0
466,Friday,23,1,en,1543,0,0,50,0.0,3751,0
